,level,identity,ll_0,ll_1,ll_2,ll_rf_0,ll_rf_1,ll_rf_2
0,A1,1.6666666666666667,2.4444444444444446,2.3333333333333335,2.222222222222222,2.8333333333333335,2.388888888888889,2.6666666666666665
1,A2,2.8333333333333335,2.1666666666666665,2.611111111111111,2.8333333333333335,2.5555555555555554,2.8333333333333335,2.6666666666666665
2,B1,2.444444444444444,2.7222222222222228,2.0555555555555554,2.5,2.444444444444444,2.444444444444444,2.6666666666666665
3,B2,2.5,2.722222222222222,2.5,2.5555555555555554,2.888888888888889,2.6666666666666665,2.6111111111111107
4,C1,2.555555555555556,2.777777777777778,2.777777777777778,2.611111111111111,2.8333333333333335,2.722222222222222,2.611111111111111
5,C2,2.4444444444444446,2.722222222222222,2.8333333333333335,2.722222222222222,2.3333333333333335,2.5,2.4444444444444446
