,identity,ll_0,ll_1,ll_2,ll_rf_0,ll_rf_1,ll_rf_2
0,1.6666666666666667,2.0,1.8333333333333333,2.6666666666666665,2.6666666666666665,1.8333333333333333,2.5
1,2.0,2.5,2.5,1.8333333333333333,2.8333333333333335,2.5,2.6666666666666665
2,1.3333333333333333,2.8333333333333335,2.6666666666666665,2.1666666666666665,3.0,2.8333333333333335,2.8333333333333335
3,3.0,2.0,2.5,2.5,2.6666666666666665,3.0,2.5
4,2.6666666666666665,2.5,2.3333333333333335,3.0,2.0,2.5,2.5
5,2.8333333333333335,2.0,3.0,3.0,3.0,3.0,3.0
6,3.0,2.8333333333333335,2.1666666666666665,2.6666666666666665,2.5,2.5,2.5
7,2.1666666666666665,2.8333333333333335,2.1666666666666665,2.8333333333333335,2.6666666666666665,3.0,2.5
8,2.1666666666666665,2.5,1.8333333333333333,2.0,2.1666666666666665,1.8333333333333333,3.0
9,2.3333333333333335,2.6666666666666665,2.8333333333333335,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.5
10,2.6666666666666665,2.5,2.0,2.3333333333333335,3.0,2.6666666666666665,2.6666666666666665
11,2.5,3.0,2.6666666666666665,2.6666666666666665,3.0,2.6666666666666665,2.6666666666666665
12,2.8333333333333335,2.8333333333333335,2.5,2.6666666666666665,3.0,2.6666666666666665,2.6666666666666665
13,2.5,3.0,3.0,2.6666666666666665,3.0,2.5,2.6666666666666665
14,2.3333333333333335,2.5,2.8333333333333335,2.5,2.5,3.0,2.5
15,2.3333333333333335,2.6666666666666665,3.0,2.8333333333333335,2.6666666666666665,2.3333333333333335,3.0
16,2.5,3.0,2.5,2.6666666666666665,1.8333333333333333,2.6666666666666665,2.0
17,2.5,2.5,3.0,2.6666666666666665,2.5,2.5,2.3333333333333335
